,Model_Name,Prices,Rating
0,"realme 9i (Prism Blue, 64 GB)",10999,4.5
1,"realme 9i (Prism Black, 64 GB)",10999,4.5
2,"realme C30 (Bamboo Green, 32 GB)",5999,4.3
3,"realme C30 (Lake Blue, 32 GB)",5999,4.3
4,"realme C30 (Denim Black, 32 GB)",5999,4.3
5,"realme 9i (Prism Blue, 128 GB)",13499,4.5
6,"realme 9i (Prism Black, 128 GB)",11499,4.5
7,"realme 9i (Prism Blue, 128 GB)",11499,4.5
8,"realme 9i (Prism Black, 128 GB)",13499,4.5
9,"realme 9 (Sunburst Gold, 128 GB)",13999,4.4
10,"realme 9 (Meteor Black, 128 GB)",14999,4.4
11,"realme C30 (Bamboo Green, 32 GB)",6999,4.1
12,"realme C30 (Denim Black, 32 GB)",6999,4.1
13,"realme C30 (Lake Blue, 32 GB)",6999,4.1
14,"realme 9 (Sunburst Gold, 128 GB)",14999,4.4
15,"realme 9 (Stargaze White, 128 GB)",16999,4.4
16,"realme 10 Pro+ 5G (Dark Matter, 128 GB)",25999,4.5
17,"realme 10 Pro+ 5G (Dark Matter, 128 GB)",24999,4.5
18,"realme 10 Pro 5G (Hyperspace, 128 GB)",18999,4.4
19,"realme 10 Pro 5G (Nebula Blue, 128 GB)",19999,4.4
20,"realme 10 Pro 5G (Dark Matter, 128 GB)",18999,4.4
21,"realme 9 (Meteor Black, 128 GB)",13999,4.4
22,"realme 9 (Stargaze White, 128 GB)",22999,4.4
23,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",24999,4.5
