,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Avatar: The Way of Water,2022,192,7.9,67,167963,
1,Avatar,2009,162,7.9,83,1285648,760.51
2,The Banshees of Inisherin,2022,114,7.9,87,56507,
3,Guillermo del Toro's Pinocchio,2022,117,7.7,79,53823,
4,Knives Out,2019,130,7.9,82,658206,165.36
5,Home Alone,1990,103,7.7,63,587945,285.76
6,A Christmas Story,1983,93,7.9,77,158661,20.61
7,Top Gun: Maverick,2022,130,8.4,78,472465,
8,It's a Wonderful Life,1946,130,8.6,89,462825,
9,Everything Everywhere All at Once,2022,139,8.1,81,267640,
10,Die Hard,1988,132,8.2,72,884608,83.01
11,The Sound of Music,1965,172,8.1,63,237560,163.21
12,The Batman,2022,176,7.8,72,645184,
13,Prisoners,2013,153,8.1,70,718171,61.0
14,Klaus,2019,96,8.1,65,158231,
15,All Quiet on the Western Front,2022,148,7.8,76,94230,
16,Miracle on 34th Street,1947,96,7.9,88,50603,2.65
17,The Muppet Christmas Carol,1992,85,7.7,64,63049,27.28
18,Titanic,1997,194,7.9,75,1176306,659.33
19,Harry Potter and the Sorcerer's Stone,2001,152,7.6,65,782915,317.58
20,The Godfather,1972,175,9.2,100,1856865,134.97
21,Pulp Fiction,1994,154,8.9,94,2053994,107.93
22,Interstellar,2014,169,8.6,74,1829410,188.02
23,The Shawshank Redemption,1994,142,9.3,81,2678441,28.34
24,The Nightmare Before Christmas,1993,76,7.9,82,345013,75.08
25,Once Upon a Time in Hollywood,2019,161,7.6,83,739413,142.5
26,Good Will Hunting,1997,126,8.3,70,972132,138.43
27,Dune,2021,155,8.0,74,635188,108.33
28,Kantara,2022,148,8.4,0,85003,
29,Spider-Man: No Way Home,2021,148,8.2,71,754897,804.75
30,The Wolf of Wall Street,2013,180,8.2,75,1410670,116.9
31,RRR,2022,187,7.9,83,122055,
32,American Psycho,2000,102,7.6,64,623553,15.07
33,Avengers: Endgame,2019,181,8.4,78,1130367,858.37
34,The Dark Knight,2008,152,9.0,84,2651816,534.86
35,Inception,2010,148,8.8,74,2351325,292.58
36,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1875189,315.54
37,Edward Scissorhands,1990,105,7.9,74,494844,56.36
38,Whiplash,2014,106,8.5,89,862414,13.09
39,In Bruges,2008,107,7.9,67,430644,7.76
40,Fight Club,1999,139,8.8,66,2124038,37.03
41,Blade Runner 2049,2017,164,8.0,81,576285,92.05
42,Guardians of the Galaxy,2014,121,8.0,76,1181122,333.18
43,Goodfellas,1990,145,8.7,91,1161816,46.84
44,Django Unchained,2012,165,8.4,81,1554244,162.81
45,Back to the Future,1985,116,8.5,87,1206087,210.61
46,Inglourious Basterds,2009,153,8.3,69,1449969,120.54
47,Rogue One: A Star Wars Story,2016,133,7.8,65,641097,532.18
48,The Gentlemen,2019,113,7.8,51,341833,36.47
49,Parasite,2019,132,8.5,96,803408,53.37
